@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R15-22

@attribute pacmanPosX numeric
@attribute pacmanPosY numeric
@attribute Ghost_1_PosX numeric
@attribute Ghost_1_PosY numeric
@attribute Ghost_2_PosX numeric
@attribute Ghost_2_PosY numeric
@attribute Ghost_3_PosX numeric
@attribute Ghost_3_PosY numeric
@attribute Ghost_4_PosX numeric
@attribute Ghost_4_PosY numeric
@attribute legalNorth numeric
@attribute legalSouth numeric
@attribute legalWest numeric
@attribute legalEast numeric
@attribute livingGhost_1 {True,False}
@attribute livingGhost_2 {True,False}
@attribute livingGhost_3 {True,False}
@attribute livingGhost_4 {True,False}
@attribute currentMove {Stop,North,South,West,East}

@data
4,11,6,5,6,10,8,11,13,5,0,0,1,1,True,True,True,True,East
5,11,5,5,6,11,9,11,14,5,0,1,1,1,True,True,True,True,East
6,11,4,5,3,1,10,11,13,5,0,1,1,1,True,False,True,True,East
6,10,5,5,3,1,11,11,13,4,1,1,1,0,True,False,True,True,South
6,9,6,5,3,1,11,11,14,4,1,1,1,1,True,False,True,True,South
7,9,6,5,3,1,10,11,14,5,0,1,1,1,True,False,True,True,East
8,9,7,5,3,1,10,11,15,5,0,1,1,1,True,False,True,True,East
9,9,8,5,3,1,10,10,16,5,0,1,1,1,True,False,True,True,East
10,9,7,5,3,1,11,10,16,5,1,1,1,1,True,False,True,True,East
10,10,7,5,3,1,11,11,16,5,1,1,0,1,True,False,True,True,North
10,11,7,4,3,1,12,11,16,5,0,1,1,1,True,False,True,True,North
11,11,7,5,3,1,12,11,15,5,0,1,1,1,True,False,True,True,East
12,11,8,5,3,1,5,1,14,5,0,0,1,1,True,False,False,True,East
13,11,7,5,3,1,5,1,14,6,0,0,1,1,True,False,False,True,East
14,11,8,5,3,1,5,1,14,7,0,1,1,1,True,False,False,True,East
14,10,8,4,3,1,5,1,14,6,1,1,0,0,True,False,False,True,South
14,9,9,4,3,1,5,1,14,6,1,1,1,1,True,False,False,True,South
14,8,9,3,3,1,5,1,14,6,1,1,1,1,True,False,False,True,South
14,7,8,3,3,1,5,1,7,1,1,1,1,1,True,False,False,False,South
14,6,8,4,3,1,5,1,7,1,1,1,0,0,True,False,False,False,South
14,5,8,5,3,1,5,1,7,1,1,1,1,1,True,False,False,False,South
13,5,8,4,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
12,5,7,4,3,1,5,1,7,1,0,0,1,1,True,False,False,False,West
11,5,6,4,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
10,5,5,4,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
9,5,4,4,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
8,5,3,4,3,1,5,1,7,1,1,1,1,1,True,False,False,False,West
7,5,4,4,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
6,5,5,4,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
5,5,5,3,3,1,5,1,7,1,0,1,1,1,True,False,False,False,West
5,4,6,3,3,1,5,1,7,1,1,1,1,1,True,False,False,False,South
5,3,6,4,3,1,5,1,7,1,1,0,1,1,True,False,False,False,South
1,11,6,5,6,9,8,11,14,6,0,1,0,1,True,True,True,True,Stop
1,11,6,5,6,8,8,11,14,6,0,1,0,1,True,True,True,True,Stop
2,11,6,5,6,9,9,11,14,7,0,0,1,1,True,True,True,True,East
3,11,6,4,6,10,10,11,14,6,0,0,1,1,True,True,True,True,East
4,11,7,4,6,9,10,10,14,5,0,0,1,1,True,True,True,True,East
5,11,6,4,7,9,10,9,13,5,0,1,1,1,True,True,True,True,East
6,11,5,4,7,9,10,8,14,5,0,1,1,1,True,True,True,True,East
6,10,6,4,8,9,10,7,14,5,1,1,1,0,True,True,True,True,South
6,9,6,3,8,8,9,7,15,5,1,1,1,1,True,True,True,True,South
7,9,6,3,8,8,9,7,15,5,0,1,1,1,True,True,True,True,East
8,9,6,4,8,7,9,8,16,5,0,1,1,1,True,True,True,True,East
